index_in_path,lat,lng,altitude,heading,roll,tilt,distance_from_ground
0,37.82927287414178,-122.51936482443432,250,231.780,0.000,45.000,200
1,37.82927068649145,-122.51936834161825,250,231.780,0.000,45.000,200
2,37.82926825513141,-122.5193722506251,250.14688730470635,231.780,0.000,45.036,200
3,37.82926585364316,-122.51937611160562,250.41855377620305,231.780,0.000,45.103,200
4,37.82926326397874,-122.51938027512529,250.79613250526643,231.780,0.000,45.196,200
5,37.82926046324677,-122.51938477798751,251.26351172745098,231.780,0.000,45.312,200
6,37.829257582916206,-122.51938940882378,251.8069217018575,231.780,0.000,45.446,200
7,37.82925480100361,-122.51939388142894,252.41458360806084,231.780,0.000,45.597,200
8,37.82925193787649,-122.51939848460609,253.0764111583139,231.780,0.000,45.760,200
9,37.8292491039312,-122.51940304086614,253.78375701753717,231.780,0.000,45.936,200
10,37.82924641653921,-122.5194073615058,254.52919730968694,231.780,0.000,46.121,200
11,37.82924371712519,-122.51941170147369,255.30634849726735,231.780,0.000,46.314,200
12,37.829240915773795,-122.5194162053306,256.1097117776978,231.780,0.000,46.515,200
13,37.829238167573266,-122.51942062373433,256.9345408686511,231.780,0.000,46.721,200
14,37.82923550350367,-122.51942490687694,257.776729673623,231.780,0.000,46.932,200
15,37.829232907458945,-122.51942908065273,258.63271684526524,231.780,0.000,47.148,200
16,37.82923020302554,-122.51943342868967,259.4994047113482,231.780,0.000,47.367,200
17,37.829227397523695,-122.51943793921865,260.3740904084504,231.780,0.000,47.588,200
18,37.82922466370615,-122.51944233449743,261.2544073916725,231.780,0.000,47.812,200
19,37.82922466370615,-122.51944233449743,262.1382757633902,231.780,0.000,48.038,200
20,37.82922466370615,-122.51944233449743,263.0238600975745,231.780,0.000,48.266,200
21,37.82922466370615,-122.51944233449743,263.909533634692,231.780,0.000,48.495,200
22,37.82922466370615,-122.51944233449743,264.7938478909108,231.780,0.000,48.725,200
23,37.82922466370615,-122.51944233449743,265.67550686874614,231.780,0.000,48.955,200
24,37.82922466370615,-122.51944233449743,266.55334517817477,231.780,0.000,49.186,200
25,37.82922466370615,-122.51944233449743,267.4263094808601,231.780,0.000,49.418,200
26,37.82922466370615,-122.51944233449743,268.2934427582023,231.780,0.000,49.649,200
27,37.82922466370615,-122.51944233449743,269.1538709787881,231.780,0.000,49.881,200
28,37.82922466370615,-122.51944233449743,270.00679180444865,231.780,0.000,50.112,200
29,37.82922466370615,-122.51944233449743,270.8514650282217,231.780,0.000,50.344,200
30,37.82922466370615,-122.51944233449743,271.6872044834921,231.780,0.000,50.575,200
31,37.82922466370615,-122.51944233449743,272.5133712026638,231.780,0.000,50.805,200
32,37.82922466370615,-122.51944233449743,273.3293676369363,231.780,0.000,51.036,200
33,37.82922466370615,-122.51944233449743,274.13463277699697,231.780,0.000,51.266,200
34,37.82922466370615,-122.51944233449743,274.9286380384411,231.780,0.000,51.495,200
35,37.82922466370615,-122.51944233449743,275.7108837961369,231.780,0.000,51.723,200
36,37.82922466370615,-122.51944233449743,276.48089646909506,231.780,0.000,51.951,200
37,37.82922466370615,-122.51944233449743,277.2382260721455,231.780,0.000,52.178,200
38,37.82922466370615,-122.51944233449743,277.98244416325696,231.780,0.000,52.405,200
39,37.82922466370615,-122.51944233449743,278.7131421259885,231.780,0.000,52.630,200
40,37.82922466370615,-122.51944233449743,279.42992973561843,231.780,0.000,52.855,200
41,37.82922466370615,-122.51944233449743,280.13243396519573,231.780,0.000,53.079,200
42,37.82922466370615,-122.51944233449743,280.8202979943036,231.780,0.000,53.301,200
43,37.82922466370615,-122.51944233449743,281.49318038889044,231.780,0.000,53.523,200
44,37.82922466370615,-122.51944233449743,282.15075442525335,231.780,0.000,53.744,200
45,37.82922466370615,-122.51944233449743,282.7927075352826,231.780,0.000,53.964,200
46,37.82922466370615,-122.51944233449743,283.4187408534948,231.780,0.000,54.182,200
47,37.82922466370615,-122.51944233449743,284.0285688492915,231.780,0.000,54.400,200
48,37.82922466370615,-122.51944233449743,284.6219190303524,231.780,0.000,54.617,200
49,37.82922466370615,-122.51944233449743,285.1985317051761,231.780,0.000,54.832,200
50,37.82922466370615,-122.51944233449743,285.7581597945699,231.780,0.000,55.046,200
51,37.82922466370615,-122.51944233449743,286.300568683412,231.780,0.000,55.259,200
52,37.82922466370615,-122.51944233449743,286.82553610530374,231.780,0.000,55.470,200
53,37.82922466370615,-122.51944233449743,287.3328520538321,231.780,0.000,55.681,200
54,37.82922466370615,-122.51944233449743,287.82231871509816,231.780,0.000,55.890,200
55,37.82922466370615,-122.51944233449743,288.29375041696807,231.780,0.000,56.098,200
56,37.82922466370615,-122.51944233449743,288.74697359117926,231.780,0.000,56.304,200
57,37.82922466370615,-122.51944233449743,289.18182674501645,231.780,0.000,56.509,200
58,37.82922466370615,-122.51944233449743,289.5981604397627,231.780,0.000,56.713,200
59,37.82922466370615,-122.51944233449743,289.9958372735524,231.780,0.000,56.915,200
60,37.82922466370615,-122.51944233449743,290.37473186661106,231.780,0.000,57.116,200
61,37.82922466370615,-122.51944233449743,290.7347308471721,231.780,0.000,57.315,200
62,37.829222660691165,-122.51944555483274,291.0757328366227,231.780,0.000,57.513,200
63,37.829220628945045,-122.51944882136026,291.39764843265345,231.780,0.000,57.709,200
64,37.82921857180096,-122.5194521287211,291.7004001893766,231.780,0.000,57.903,200
65,37.82921652736921,-122.51945541564365,291.98392259354233,231.780,0.000,58.097,200
66,37.82921452435421,-122.51945863597861,292.2481620361212,231.780,0.000,58.288,200
67,37.82921248413326,-122.51946191613112,292.493076778641,231.780,0.000,58.478,200
68,37.82921048111827,-122.51946513646588,292.7186369137705,231.780,0.000,58.666,200
69,37.82920847286394,-122.51946836522409,292.9248243197295,231.780,0.000,58.853,200
70,37.82920644119648,-122.51947163162448,293.1116326081826,231.780,0.000,59.038,200
71,37.82920443818149,-122.51947485195899,293.27906706533946,231.780,0.000,59.221,200
72,37.82920243516649,-122.51947807229341,293.4271445860417,231.780,0.000,59.403,200
73,37.829200432151495,-122.51948129262775,293.5558936006664,231.780,0.000,59.582,200
74,37.82919839484504,-122.51948456809386,293.66535399471894,231.780,0.000,59.761,200
75,37.829196201353156,-122.51948809466599,293.7555770210261,231.780,0.000,59.937,200
76,37.82919405220163,-122.51949154995008,293.8266252044738,231.780,0.000,60.111,200
77,37.829191827570135,-122.51949512658645,293.8785722392615,231.780,0.000,60.284,200
78,37.829189509058416,-122.51949885415802,293.91150287867225,231.780,0.000,60.455,200
79,37.82918686547821,-122.51950310435609,293.9255128173806,231.780,0.000,60.624,200
80,37.82918393706487,-122.5195078124925,293.9207085663381,231.780,0.000,60.791,200
81,37.82918103086305,-122.51951248491832,293.8972073202974,231.780,0.000,60.956,200
82,37.8291778159659,-122.51951765364663,293.8551368180507,231.780,0.000,61.119,200
83,37.82917457397229,-122.5195228659389,293.79463519547204,231.780,0.000,61.281,200
84,37.82917095366655,-122.51952868645948,293.71585083146806,231.780,0.000,61.440,200
85,37.829167224004365,-122.51953468279677,293.6189421869525,231.780,0.000,61.597,200
86,37.82916289658413,-122.5195416401748,293.504077636971,231.780,0.000,61.753,200
87,37.829157958961446,-122.51954957860073,293.3714352961131,231.780,0.000,61.906,200
88,37.829157958961446,-122.51954957860073,293.22120283735757,231.780,0.000,62.058,200
89,37.829157958961446,-122.51954957860073,293.0535773045052,231.780,0.000,62.207,200
90,37.829157958961446,-122.51954957860073,292.8687649183618,231.780,0.000,62.355,200
91,37.829157958961446,-122.51954957860073,292.666980876841,231.780,0.000,62.500,200
92,37.829157958961446,-122.51954957860073,292.4484491491636,231.780,0.000,62.643,200
93,37.829157958961446,-122.51954957860073,292.21340226433614,231.780,0.000,62.784,200
94,37.829157958961446,-122.51954957860073,291.96208109409844,231.780,0.000,62.923,200
95,37.829157958961446,-122.51954957860073,291.6947346305331,231.780,0.000,63.060,200
96,37.829157958961446,-122.51954957860073,291.4116197585381,231.780,0.000,63.195,200
97,37.829157958961446,-122.51954957860073,291.11300102336577,231.780,0.000,63.328,200
98,37.829157958961446,-122.51954957860073,290.799150393438,231.780,0.000,63.458,200
99,37.829157958961446,-122.51954957860073,290.4703470186504,231.780,0.000,63.587,200
100,37.829157958961446,-122.51954957860073,290.12687698438236,231.780,0.000,63.713,200
101,37.829157958961446,-122.51954957860073,289.76903306143436,231.780,0.000,63.837,200
102,37.829157958961446,-122.51954957860073,289.397114452116,231.780,0.000,63.959,200
103,37.829157958961446,-122.51954957860073,289.0114265327121,231.780,0.000,64.079,200
